,Skills,Sub-skills,Goals,stage-1,stage-2,stage-3,stage-4,stage-5,stage-6
,,,,"Explore sounds and words in texts, e.g. rhyming words, rhythm.","Explore different ways of beginning sentences in texts, including using language of time.",Explore and comment on how a writer's choice of verbs to introduce and conclude dialogue enhances the meaning.,"Explore and comment on how a writer's choice of words, including verbs, strengthens the impact on the reader, e.g. rushed instead of went.","Comment on a writer's choice of language, including how it conveys feeling and mood.","Explore commonly used figurative expressions, e.g. as cool as a cucumber, crying crocodile tears."
,,,,,,"Explore how different sentence openings are used for different purposes, including time, place and manner, e.g. Later that day, …; In the distance, …; Slowly and carefully, …","Explore and comment on how a writer's choice of words, including adjectives and adverbs, enhances the meaning (shades of meaning).","Identify figurative language in texts, including metaphors and personification.",Begin to explain how figurative language creates imagery in texts and takes understanding beyond the literal.
,,,,,,"Identify simple figurative language in texts, including sound effects and simple onomatopoeia.","Identify and recognise meaning of figurative language in texts, including alliteration and similes, e.g. as ... as ...",Begin to explain how figurative language creates imagery in texts and takes understanding beyond the literal.,
,,,,,,,"Comment on the impact of figurative language in texts, including alliteration and similes.",,
,,,"Grammar and punctuation Learners explore the use, purpose and effect of Standard English grammar and punctuation in texts.","Re-read text showing understanding of capital letters and full stops to indicate sentences, and simple grammatical links between words, e.g. [The girl] [is playing] with [her ball].","Show understanding of punctuation, including speech marks, and simple grammar when re-reading text.",Use knowledge of punctuation and grammar to read familiar texts with understanding.,Use knowledge of punctuation and grammar to read unfamiliar texts with understanding.,"Explore in texts, and understand, grammar and punctuation differences between direct and reported speech.","Explore in texts, and understand, the uses of colons, semi-colons, ellipses, parenthetic commas, dashes and brackets."
,,,,"Explore in texts, and understand, the use of full stops and different uses of capital letters.","Explore in texts, and understand, the differences in use of full stops and question marks.","Explore in texts, and understand, the use of exclamation marks.","Explore in texts, and understand, the use of commas and apostrophes.",Recognise different clauses within sentences and the connectives that link them.,Identify the main clause and other clauses (subordinate clauses) in a complex sentence.
,,,,Identify sentences in texts.,"Explore in texts sentences that contain and, but, because, if, when.","Explore in texts, and understand, the use of apostrophes to mark omission of letters in shortened forms, e.g. can't, don't.","Explore in texts, and understand, the standard layout and punctuation of direct speech.","Explore and discuss different types of nouns, including abstract nouns, and how quantifiers (e.g. fewer, less) relate to countable and uncountable nouns.",Begin to show awareness of the impact of a writer's choices of sentence length and structure.
,,,,Explore in texts sentences that contain and.,"Explore in texts, and understand, the grammar of commands/instructions and questions.","Explore in texts, and understand, similarities and differences between the punctuation of narrative and direct speech.",Explore in texts the use of different connectives in multi-clause sentences.,"Explore in texts use of pronouns, including possessive pronouns (e.g. theirs, mine), to avoid repetition of nouns while still maintaining clarity.",Explore how different relative pronouns are used in texts to introduce additional detail.
,,,,"Explore in texts, and understand, the grammar of statements, including the importance of verbs and word order.","Explore in texts examples of nouns and noun phrases, including use of common adjectives and simple quantifiers (e.g. some, most, all).","Explore in texts, and understand, the grammar and purpose of different types of sentences (statements, commands/instructions, questions and exclamations).",Identify connectives in texts.,"Explore how different modal verbs express degrees of possibility, e.g. should, would, could.",Identify different word classes in texts and understand their purposes.
,,,,Explore in texts examples of nouns and verbs.,"Explore examples of pronouns in texts, including their purpose and how they agree grammatically with verbs.","Explore in texts, and understand, the grammar of multi-clause sentences, including conditional sentences.","Explore in texts a range of examples of quantifiers, e.g. either, neither, both.",Explore in texts the conventions of standard English.,"Explore, and understand, the use of active and passive verb forms."
,,,,"Explore, and understand, the use of articles the and a or an in sentences.",,"Explore the purpose and grammar of nouns, verbs and adjectives in sentences.","Explore in texts examples of adverbs and adverbial phrases, including their purposes.",,Explore differences between written and spoken English by comparing narrative and dialogue.
,,,,,,"Identify nouns, pronouns, verbs and adjectives in texts.",Identify adverbs in texts.,,"Explore and discuss grammatical features in a range of texts, e.g. verb forms, sentence types, use of different word classes."
,,,,,,Explore the different purposes of prepositions.,"Explore and understand how past, present and future verb forms are used in texts.",,
,,,,,,"Explore and identify past and present verb forms in texts, including irregular verbs.","Explore in texts, and understand, subject-verb agreement.",,
,,,,,,Identify common irregular verb forms in the past tense and relate them to the present tense.,,,
,,,"Structure of texts Learners explore how ideas are organised, sequenced and connected in texts for clarity, cohesion and impact.","Talk about the sequence of events or actions in a text, e.g. what happens at the beginning, in the middle and at the end of a story.",Talk about the sequence of events or ideas in a text.,Explore and describe how events or ideas in a text relate to earlier or later events or ideas.,Explore and describe the main stages in a text from introduction to conclusion.,Explore and describe the progression of ideas in a text; compare the progression in different texts.,"Explore and describe the progression of ideas in a text, including the handling of time (e.g. to manage flashbacks, or events which are presented out of chronological order)."
,,,,"Explore and recognise the features of text structure in a range of different fiction and non-fiction texts, including simple poems.","Explore and recognise the features of text structure in a range of different fiction and non-fiction texts, including simple poems.","Explore and recognise the key features of text structure in a range of different fiction and non-fiction texts, including poems and playscripts.","Explore and recognise the key features of text structure in a range of different fiction and non-fiction texts, including poems and playscripts.","Explore and recognise the key features of text structure in a range of different fiction and non-fiction texts, including poems and playscripts.","Explore and recognise the key features of text structure in a range of different fiction and non-fiction texts, including poems and playscripts."
,,,,"Explore and recognise parts of a book, including cover, title and contents.","Explore and recognise organisational features that help the reader to find information in texts, including subheadings and labelled diagrams.","Explore and recognise different ways that information is organised in texts, including paragraphs, sections and chapters, and bulleted and numbered lists.",Explore and recognise how ideas are organised in paragraphs and sections.,Explore and recognise how different effects can be achieved by sequencing sections and paragraphs in different ways.,"Explore and recognise how ideas are organised and linked cohesively across a text, e.g. new chapters to manage flashbacks or events which are presented out of chronological order; use of however and on the other hand to introduce a new paragraph in a balanced argument."
,,,,"Explore and recognise how texts for different purposes look different, e.g. different uses of pictures.",,"Explore and recognise how sentence openings in texts establish links between sentences, e.g. Later that day, …",Explore and recognise how points are sequenced and linked to develop ideas within and between paragraphs.,,
,,,"Interpretation of texts
Learners explore how the features of texts relate to
their purpose and audience; they develop skills in
identifying, communicating and justifying explicit and
implicit meanings in texts.","Read and explore a range of simple stories and poems, including identifying the contribution of any visual elements.",Begin to distinguish between fiction and non-fiction texts.,Understand the difference between fiction and non-fiction texts and locate books by classification.,Understand the difference between fiction and non-fiction texts and locate books by classification.,Understand the difference between fiction and non-fiction texts and locate books by classification.,Understand the difference between fiction and non-fiction texts and locate books by classification.
,,,,Identify the characteristics of simple stories.,"Read and explore a range of simple stories and poems, including identifying the contribution of any visual elements.","Read and explore a range of fiction genres, poems and playscripts, including identifying the contribution of any visual elements or multimedia.","Read and explore a range of fiction genres, poems and playscripts, including identifying the contribution of any visual elements or multimedia.","Read and explore a range of fiction genres, poems and playscripts, including identifying the contribution of any visual elements or multimedia.","Read and explore a range of fiction genres, poems and playscripts, including identifying the contribution of any visual elements or multimedia."
,,,,Read and explore a range of simple non-fiction text types.,Identify the characteristics of simple stories.,"Identify, discuss and compare different fiction genres and their typical characteristics.","Identify, discuss and compare different fiction genres and their typical characteristics.","Identify, discuss and compare different fiction genres and their typical characteristics.","Identify, discuss and compare different fiction genres and their typical characteristics."
,,,,Begin to show awareness that different non-fiction text types have different purposes and begin to identify their features.,Read and explore a range of simple non-fiction text types.,Read and explore a range of non-fiction text types.,Read and explore a range of non-fiction text types.,Read and explore a range of non-fiction text types.,Read and explore a range of non-fiction text types.
,,,,Explore explicit meanings in simple texts.,Begin to show awareness that different non-fiction text types have different purposes and begin to identify their features.,"Identify, discuss and compare the purposes and features of different non-fiction text types, including how texts engage the reader.","Identify, discuss and compare the purposes and features of different non-fiction text types, including how texts persuade the reader.","Identify, discuss and compare the purposes and features of different non-fiction text types, including evaluating texts for purpose and clarity, and recognising use of personal and impersonal style.","Identify, discuss and compare the purposes and features of different non-fiction text types, including balanced written arguments."
,,,,"Retell a familiar story verbally, including most of the relevant information.",Explore explicit meanings in simple texts.,Explore explicit meanings in a range of texts.,Explore explicit meanings in a range of texts.,Explore explicit meanings in a range of texts.,Explore explicit meanings in a range of texts.
,,,,Identify the main characters in a story and talk about what happens to them.,Identify and use the main events to retell a story verbally.,Identify the main points or gist from reading a text.,Identify key words and phrases that establish the main points in a text.,"Extract main points from a text, and group and link ideas.",Summarise explicit meanings drawn from more than one point in a text.
,,,,"Find information by reading labels, lists and captions.",Describe story settings and characters.,Explain how settings and characters are developed in a story.,"Explain how settings and characters are developed, identifying key words and phrases from the story.","Recognise and compare the dramatic conventions of playscripts and films, including how they contribute to the development of characters and settings.",Explore implicit meanings in a range of texts.
,,,,Explore implicit meanings in simple texts.,"Find information from simple visual sources, including tables and labelled diagrams.",Follow written instructions to carry out an activity.,Explore implicit meanings in a range of texts.,Explore implicit meanings in a range of texts.,Use evidence from more than one point in a story to support predictions about what might happen later in the story.
,,,,Anticipate what happens next in a story.,Explore implicit meanings in simple texts.,Explore implicit meanings in a range of texts.,Predict what happens next in a story based on previous events in the story.,Use a range of types of clues in stories (e.g. personality of characters) to predict what might happen next.,Make a range of plausible inferences from texts.
,,,,Make simple inferences based on events in a text.,Predict story endings.,Predict story endings based on knowledge of other stories.,"Make inferences from texts, including about story settings and characters.","Make inferences from texts, including about the relationships between story characters.","Comment on how a writer influences the reaction of readers, including how they present characters and settings, and evoke particular moods (e.g. suspense, anger, excitement)."
,,,,Respond verbally to simple questions about texts read or heard.,Make simple inferences based on what is said or done in a text.,"Make inferences from texts, including about the feelings, thoughts and motives of story characters.",Begin to distinguish between fact and opinion in texts.,Distinguish between fact and opinion in a range of texts.,Distinguish between fact and opinion in a range of texts.
,,,,Answer questions about texts with some explanation of thinking.,Answer simple questions from reading a short text.,Begin to distinguish between fact and opinion in texts.,Skim to gain an overall sense of a text.,Use scanning and skimming appropriately depending on the type of information required.,"Locate and use relevant information from one or more points in a text, or from different texts, confidently and efficiently."
,,,,Show understanding of rhyme and repetition when joining in with reading familiar simple stories and poems.,"Locate relevant information in texts, including using a contents page.",Scan a text to find and use specific information to answer a question.,Locate and use relevant information from a text to answer questions.,Locate and use relevant information from a single text or different texts.,"Support answers to questions with reference to, or quotations from, one or more points in a text."
,,,,,Answer questions about texts with some explanation of thinking.,"Locate relevant information in texts, including using an index.",Answer questions with some reference to single points in a text.,"Support answers to questions with reference to, or quotations from, one or more points in a text.",Recognise explicit and implicit ways in which the theme of a text is conveyed.
,,,,,"Talk about patterns in simple stories and poems, e.g. rhyme, repetition.",Answer questions with some reference to single points in a text.,"Recognise, compare and contrast the themes and features of texts.","Recognise, compare and contrast the themes, features and language of texts.",Comment on how different viewpoints are expressed in fiction and non-fiction texts.
,,,,,,"Recognise the theme of a text, and common themes in different texts.",Identify the viewpoint from which a story is told.,Comment on how a viewpoint is expressed in fiction and non-fiction texts.,Distinguish between texts with a writer's voice and texts with a narrator's voice.
,,,"Appreciation and reflection Learners read for pleasure, broadening their experience of texts; they compare, reflect on and evaluate texts.","Enjoy reading and hearing a range of simple stories, poems and non-fiction texts.","Enjoy reading and hearing a range of simple stories, poems and non-fiction texts.","Enjoy independent and shared reading of fiction genres, poems, playscripts and non-fiction texts.","Enjoy independent and shared reading of fiction genres, poems, playscripts and non-fiction texts.","Enjoy independent and shared reading of fiction genres, poems, playscripts and non-fiction texts.","Enjoy independent and shared reading of fiction genres, poems, playscripts and non-fiction texts."
,,,,Join in with some words and phrases when reading familiar simple stories and poems together.,Begin to read texts silently as well as aloud.,Read texts silently.,"Express personal responses to texts, including linking characters, settings and events to personal experience.","Express personal responses to texts, including predictions, opinions and reflections.","Express personal responses to texts, including preferences in terms of language, style and themes."
,,,,Read aloud simple texts independently.,"Discuss texts read or heard, including giving reasons for likes and dislikes.","Share a review of a text, summarising what it is about and expressing opinions about it.",Develop preferences about favourite books and share recommendations with others.,Develop preferences about favourite writers and share recommendations with others.,"Begin to choose a more diverse range of books to read, including writers or genres which compare or contrast with previous reading."
,,,,"Talk about texts heard or read, including making links with own experiences and expressing likes and dislikes.",Make choices about books to read for pleasure.,"Make choices about books to read for pleasure, including based on blurbs and reviews.",Comment on how fiction reflects the time or context in which it is set.,"Begin to consider how readers might react differently to the same text, depending on where or when they are reading it.","Comment on how readers might react differently to the same text, depending on where or when they are reading it."
,,,,Begin to make choices about books to read or listen to for pleasure.,Recognise that stories may be from different times and places.,"Compare different retellings of the same story, including the influence of when and where they were written (e.g. myths and legends).",,,
,,,,Begin to identify how contexts and events in stories are the same as or different from real life.,,,,,
,,Writing,"Word structure (spelling)
Learners develop understanding of spelling strategies,
patterns and rules, and apply them in their writing.",Identify the most common letter(s) (grapheme(s)) associated with each sound in the English language.,"Explore and use different spellings of common phonemes, including long vowel phonemes, e.g. day, rain, made, great; apple, travel, metal.","Explore and use common ways in which consonant phonemes can be represented, e.g. jar, giraffe, age, bridge; cat, kitten, brick.","Explore and use silent letters (e.g. knife, lamb) and different spellings of words with vowel phonemes (e.g. short vowel phonemes: umbrella, young and love ('o' before ' vv '); long vowel phonemes after ' ww ': want, war, water, word).","Explore and use spellings of unstressed vowel phonemes at the end of words, e.g. /s:/ ('er') at the end of butter, /i:/ ('ee') at the end of city.","Explore and use different ways of representing consonants, e.g. -ck,−k,−ke,−queck,−k,−ke,−que or −ch−ch for /k/;−ch/k/;−ch or −tch−tch for /I/;j−,g/I/;j−,g - or -dge for //g///g/."
,,,,"Identify letters (graphemes) for adjacent consonants (e.g. br, nd) and consonant digraphs, including th, ch and sh.","Explore and use spellings of words with split digraphs, e.g. made, like.","Use recognition of long and short vowel sounds and spelling rules to add -s, -ed and -ing to verbs, including omitting -e before -ing, and doubling consonants where necessary.","Explore and use spelling patterns for pluralisation, including -s, -es, -y/-ies and -f/-ves.","Explore and use 'silent' vowels and syllables in polysyllabic words, e.g. library, interest.","Explore and spell words with different suffixes but similar pronunciation, e.g. -tion, -cian, -sion, -ssion; -ance, -ence."
,,,,"Relate rhyme to shared spelling patterns, e.g. rock, clock, sock.","Relate rhyme to known spelling patterns, e.g. whale, snail.","Spell words with a range of common prefixes and suffixes, including re-, in-, -ment, -ness and -less.","Spell words with a range of common prefixes and suffixes, including trans-, pre-, -ion, -ation and -ous.","Explore and use rules for single and double consonants, e.g. full, ful, -fully.","Further develop understanding of how to add prefixes and suffixes to root words, and when the root word changes."
,,,,"Explore and use plural nouns with endings -s and -es, and understand the effect on the meaning of a noun of adding these endings.","Use common irregular plurals, e.g. mice, sheep.","Spell common homophones correctly to match their meaning, including to, two, too and right, write.","Explore and build words with related roots and meanings, e.g. medical, medicine; sign, signal, signature.","Spell words with a wide range of common prefixes and suffixes, including understanding ways of creating opposites, e.g. un-, im-.","Spell familiar homophones and commonly confused words correctly, e.g. aloud, allowed; past, passed; advice, advise; desert, dessert."
,,,,Choose plausible graphemes that match phonemes to write simple regular words and to attempt other words.,"Explore and use verbs with endings -s, -ed and -ing where no change is needed to the root, and understand the effect on the meaning of a verb of adding these endings.","Use effective strategies, including spelling patterns, visual memory, mnemonics and segmenting, to spell some unfamiliar regular and exception words correctly (including for compound words).","Spell common homophones correctly to match their grammatical purpose, including they're, their, there.",Explore and use spelling rules for suffixes that begin with vowels and suffixes that begin with consonants.,Explore a range of spelling rules and exceptions.
,,,,"Spell familiar words accurately, including common exception words.","Spell some words with common prefixes and suffixes, including un-, dis-, -er, -est, -ful and -ly.","Use paper-based and on-screen tools to find the correct spelling of words; keep and use spelling logs of misspelt words, and identify words that need to be learned.","Spell words with common letter strings but different pronunciations, e.g. tough, through, trough, plough.","Explore and use accurately words that have the same spelling but different meanings (homonyms), e.g. wave (hand gesture, hair curl, sea movement, etc.).",Use effective strategies to spell a wide range of words correctly.
,,,,Ask for support in spelling unfamiliar words and use spelling logs to support future writing.,"Explore and use words which sound the same but have different spellings of long vowels (homophones), e.g. tail and tale, stare and stair, blew and blue.",,"Generate spelling rules from spelling patterns, and test them.","Spell words with less common letter strings which may be pronounced differently, e.g. pour, hour, piece, pie.","Use paper-based and on-screen tools to find the correct spelling of words; keep and use spelling logs of misspelt words, and identify words that need to be learned."
,,,,,Use knowledge of phonemes and spelling patterns to spell a range of common regular words correctly.,,"Use effective strategies, including segmenting, spelling rules, visual memory and mnemonics, to spell a range of unfamiliar regular and exception words correctly.",Explore exceptions to known spelling rules.,
,,,,,Spell a range of common exception words accurately.,,"Use paper-based and on-screen tools to find the correct spelling of words; keep and use spelling logs of misspelt words, and identify words that need to be learned.","Use effective strategies, including spelling rules and exceptions, and using known spellings to work out the spelling of related words, to spell a range of words correctly.",
,,,,,Ask for support in spelling unfamiliar words and use spelling logs to support future writing.,,,"Use paper-based and on-screen tools to find the correct spelling of words; keep and use spelling logs of misspelt words, and identify words that need to be learned.",
,,,"Vocabulary and language Learners develop skills in using appropriate and creative vocabulary, and in making language choices for effect.",Use vocabulary relevant to a familiar topic.,Use vocabulary relevant to a familiar topic.,Use specialised vocabulary accurately to match a familiar topic.,Use specialised vocabulary accurately to match a familiar topic.,Use specialised vocabulary accurately to match a familiar topic.,Use specialised vocabulary accurately to match a familiar topic.
,,,,"Begin to use some formulaic language, e.g. Once upon a time …","In story writing, use a range of adjectives to describe characters and settings.","Explore and use synonyms for high frequency words, e.g. big, little, good.",Explore and use alternatives for overused words and phrases.,"Explore synonyms and words conveying shades of meaning, and use them accurately in own writing.",Explore and use words and phrases to convey shades of meaning appropriate to the context.
,,,,Use own lists of interesting and significant words to extend the range of vocabulary used in written work.,"Begin to vary sentence openings, including using language of time, e.g. Suddenly …, That morning …","Explore and use different verbs for introducing and concluding dialogue, e.g. said, asked.","Explore shades of meaning in adjectives and adverbs (e.g. tepid, warm, hot), and use them appropriately in own writing.",Choose and use words and phrases carefully to convey feeling and mood.,Transform meaning with prefixes and suffixes.
,,,,,"Choose and use interesting words and phrases, including to describe people and places.","Use a variety of sentence openings, including using language of time, place and manner, e.g. Later that day, …; In the distance, …; Slowly and carefully, …","Choose and use words (including verbs, e.g. rushed instead of went) to strengthen the impact of writing.",Begin to use figurative language to evoke an imaginative response from the reader.,Choose and use vocabulary carefully to develop imaginative detail.
,,,,,Use own lists of interesting and significant words to extend the range of vocabulary used in written work.,Choose and use words and phrases (including noun phrases) to strengthen the impact of writing.,"Use simple figurative language, including alliteration and similes.","Use own lists of interesting and significant words, dictionaries and thesauruses to extend the range of vocabulary used in written work.",Begin to use figurative language to evoke an imaginative response from the reader.
,,,,,,"Use simple figurative language, including sound effects and simple onomatopoeia.","Use own lists of interesting and significant words, dictionaries and thesauruses to extend the range of vocabulary used in written work.",,"Use own lists of interesting and significant words, dictionaries and thesauruses to extend the range of vocabulary used in written work."
,,,,,,"Use own lists of interesting and significant words, dictionaries and thesauruses to extend the range of vocabulary used in written work.",,,
,,,Grammar and punctuation Learners develop accurate use of grammar and punctuation in Standard English; they use grammar and punctuation to shape their writing for purpose and effect.,Use a capital letter and full stop to start and end a sentence.,"Use capital letters, full stops and question marks correctly in simple sentences.","Use full stops, question marks and exclamation marks correctly in different types of sentences.",Consistently use accurate end-of-sentence punctuation.,Begin to use commas to separate clauses within sentences and clarify meaning in complex sentences.,"Use commas, dashes and brackets parenthetically."
,,,,"In more extended writing, end some sentences with a full stop.",Explore and use commas to separate items in lists.,"Use apostrophes to mark omission of letters in shortened forms, e.g. can’t, don’t.",Begin to use commas to make the meaning of sentences clearer.,Use apostrophes accurately.,Punctuate direct and reported speech accurately.
,,,,"Use a capital letter for 'I', for proper nouns and to start some sentences in more extended writing.","Begin to include direct speech in writing, using a new line for each speaker.",Use speech marks to punctuate direct speech.,Use apostrophes for singular and plural possession.,Punctuate direct speech accurately.,Use punctuation effectively to clarify meaning in complex sentences.
,,,,Write simple sentences.,"Write clear statements, commands/instructions and questions.","Use different types of sentences and their grammar appropriately (statements, commands/instructions, questions and exclamations).",Begin to use other punctuation alongside speech marks to punctuate direct speech.,"Understand how to create multi-clause sentences by combining simple sentences and reordering clauses; use simple, compound and complex sentences.","Use a variety of simple, compound and complex sentences chosen for effect."
,,,,Use and to join words and clauses.,"Write simple sentences, and multi-clause sentences using and, but, or.","Write multi-clause sentences using simple connectives of time, place and cause.",Write multi-clause sentences using a range of connectives.,"Use a wide range of modal verbs accurately to express degrees of possibility, e.g. should, would, could.",Use active and passive verb forms within sentences.
,,,,Use articles the and a or an appropriately in sentences.,"Begin to write multi-clause sentences using simple connectives, e.g. because, if, when.",Use regular present and past verb forms accurately and consistently across a text.,"Use past, present and future verb forms accurately.","Use pronouns, including possessive pronouns (e.g. theirs, mine), appropriately so it is clear to what or whom they refer.","Ensure grammatical agreement of quantifiers with countable and uncountable nouns, e.g. less and fewer."
,,,,,"Begin to use suffixes -s, -ing and -ed appropriately for present and past verb forms in sentences.",Use common irregular verb forms accurately in the past tense.,"Experiment with varying verb forms in texts, including in direct speech.","Form and use comparative and superlative adjectives and adverbs correctly, e.g. better, best; smaller, smallest; more quickly, most quickly.",Use relative pronouns to introduce additional detail.
,,,,,"Use simple quantifiers appropriately for the context, e.g. some, most, all.",Use a range of prepositions accurately.,"Use the verb to be accurately, including subject-verb agreement for different verb forms.",Use a wide range of adverbs and adverbial phrases.,"Use the conventions of standard English appropriately in writing, including for different types of texts, e.g. verb forms, sentence structure, use of different word classes."
,,,,,"Use pronouns in writing, and ensure grammatical agreement of nouns and pronouns with verbs.",,"Use a range of quantifiers appropriately for the context, e.g. either, neither, both.",,
,,,,,"Use common adjectives appropriately in sentences, including simple comparative and superlative forms.",,Use adverbs and adverbial phrases appropriately.,,
,,,"Structure of texts Learners develop skills in organising, sequencing and connecting ideas in their writing for clarity, cohesion and impact.","Develop a simple sequence of known actions or events, e.g. by ordering sentences and then adding to them.","Write a sequence of events or ideas, including stories with a beginning, middle and end.","Write a logical sequence of events or ideas, e.g. to develop the plot of a story.","Develop a logical sequence of ideas, making relationships between them clear.",Begin to develop ideas cohesively across longer pieces of writing.,"Manage the development of an idea across an extended piece of writing, e.g. by linking the end to the beginning."
,,,,"Use simple organisational features appropriate to the text type, e.g. subheadings, labelled diagrams.",Group together sentences relating to similar ideas.,Begin to organise similar ideas in paragraphs and sections.,Use paragraphs and sections consistently to organise ideas.,Organise ideas in paragraphs and sections to achieve an appropriate effect.,"Use paragraphs, sections and chapters to organise ideas and support overall cohesion of a text, e.g. new chapters to manage flashbacks or events which are presented out of chronological sequence."
,,,,,"Use simple organisational features appropriate to the text type, e.g. subheadings, labelled diagrams.","Use sentence openings that establish links between ideas in different sentences, e.g. Later that day, …","Use connectives to establish links between paragraphs, e.g. if, although.","Use organisational features appropriate to the text type, e.g. bulleted and numbered lists.","Use a range of connectives to link paragraphs and sections clearly and cohesively, e.g. use of however and on the other hand to introduce counter-arguments in a balanced argument."
,,,,,,"Use organisational features appropriate to the text type, e.g. bulleted and numbered lists.","Use organisational features appropriate to the text type, e.g. bulleted and numbered lists.",,"Use organisational features appropriate to the text type, e.g. bulleted and numbered lists."
,,,Creation of texts Learners develop skills in planning and writing texts for different purposes and audiences.,"Begin to write simple stories and poems, including using the structures of familiar stories and poems.","Begin to write simple stories and poems, including using the structures of familiar stories and poems.",Develop creative writing in a range of different genres of fiction and types of poems.,Develop creative writing in a range of different genres of fiction and types of poems.,Develop creative writing in a range of different genres of fiction and types of poems.,Develop creative writing in a range of different genres of fiction and types of poems.
,,,,"Plan writing by speaking aloud, e.g. saying sentences or describing a sequence of events before writing them.","Plan writing through discussion, e.g. talking about the setting and characters before writing a story.",Plan and record main points and ideas before writing.,Explore and use different ways of planning to inform writing for particular purposes.,"Use effective planning to inform the content and structure of writing, e.g. paragraphs or sections.","Use effective planning to inform the content and structure of extended writing, e.g. chapters."
,,,,"Develop a short written retelling of a familiar story, e.g. by writing sentences to caption pictures.",Include simple descriptions of settings and characters when writing stories.,Develop descriptions of settings and characters when writing stories.,Write character profiles to inform story writing.,Write new scenes or characters into a story; rewrite events from the viewpoint of another character.,"When writing stories, develop descriptions of settings, characters and action that engage and entertain the reader."
,,,,Begin to write for a purpose using basic language and features appropriate for the text type.,Begin to write for a purpose using basic language and features appropriate for the text type.,Write a simple playscript based on a given narrative.,Develop descriptions of settings and characters to capture the reader's imagination.,Express a viewpoint in fiction through a character's opinions about a setting or other characters.,"Include different viewpoints in fiction, e.g. when writing stories with flashbacks."
,,,,Include some relevant information when writing simple non-fiction texts in familiar real-life contexts.,Include additional information to develop some ideas when writing non-fiction texts.,Develop writing for a purpose using language and features appropriate for a range of text types.,Write alternative beginnings and endings for stories.,"Write a playscript, including production notes and stage directions to guide performance.","Write a playscript using production notes, language and stage directions, to develop characters and settings."
,,,,,,"Develop writing of a range of text types for a specified audience, using appropriate content and language.",Begin to express a viewpoint in fiction through a character's opinions about a setting or other characters.,Develop writing for a purpose using language and features appropriate for a range of text types.,Develop writing for a purpose using language and features appropriate for a range of text types.
,,,,,,,Write a simple original playscript.,"Develop writing of a range of text types for a specified audience, using appropriate content and language.","Develop writing of a range of text types for a specified audience, using appropriate content and language."
