Skills,Sub-skills,Goal,Stage-7,Stage-8,Stage-9
,,,Identify and describe the combination of properties that determine a specific 3D shape.,Use knowledge of area and volume to derive the formula for the volume of a triangular prism. Use the formula to calculate the volume of triangular prisms.,Identify reflective symmetry in 3D shapes.
,,,"Derive and use a formula for the volume of a cube or cuboid. Use the formula to calculate the volume of compound shapes made from cuboids, in cubic metres (m3), cubic centimetres (cm3) and cubic millimetres (mm3). ","Represent front, side and top view of 3D shapes to scale.",Derive and use the formula for the sum of the interior angles of any polygon.
,,,"Visualise and represent front, side and top view of 3D shapes.","Use knowledge of area, and properties of cubes, cuboids, triangular prisms and pyramids to calculate their surface area.",Know that the sum of the exterior angles of any polygon is 360°. 
,,,"Use knowledge of area, and properties of cubes and cuboids to calculate their surface area.",Understand that the number of sides of a regular polygon is equal to the number of lines of symmetry and the order of rotation.,"Use properties of angles, parallel and intersecting lines, triangles and quadrilaterals to calculate missing angles."
,,,Identify reflective symmetry and order of rotational symmetry of 2D shapes and patterns.,Derive and use the fact that the exterior angle of a triangle is equal to the sum of the two interior opposite angles.,Know and use Pythagoras' theorem.
,,,"Derive the property that the sum of the angles in a quadrilateral is 360°, and use this to calculate missing angles","Recognise and describe the properties of angles on parallel and intersecting lines, using geometric vocabulary such as alternate, corresponding and vertically opposite.","Construct 60°, 45° and 30° angles and regular polygons. "
,,,"Know that the sum of the angles around a point is 360º, and use this to calculate missing angles.","Construct triangles, midpoint and perpendicular bisector of a line segment, and the bisector of an angle.",
,,,Recognise the properties of angles on: 1) parallel lines and transversals 2) perpendicular lines 3) intersecting lines.,,
,,,"Draw parallel and perpendicular lines, and quadrilaterals.",,
,,Position and transformation,Use knowledge of scaling to interpret maps and plans.,Understand and use bearings as a measure of direction.,Use knowledge of bearings and scaling to interpret position on maps and plans.
,,,Use knowledge of 2D shapes and coordinates to find the distance between two coordinates that have the same x or y coordinate (without the aid of a grid). ,Use knowledge of coordinates to find the midpoint of a line segment.,Use knowledge of coordinates to find points on a line segment.
,,,"Use knowledge of translation of 2D shapes to identify the corresponding points between the original and the translated image, without the use of a grid.","Translate points and 2D shapes using vectors, recognising that the image is congruent to the object after a translation.","Transform points and 2D shapes by combinations of reflections, translations and rotations."
,,,"Reflect 2D shapes on coordinate grids, in a given mirror line (x- or y-axis), recognising that the image is congruent to the object after a reflection. ","Reflect 2D shapes and points in a given mirror line on or parallel to the x- or y-axis, or y = ± x on coordinate grids. Identify a reflection and its mirror line.","Identify and describe a transformation (reflections, translations, rotations and combinations of these) given an object and its image."
,,,"Rotate shapes 90° and 180° around a centre of rotation, recognising that the image is congruent to the object after a rotation.","Understand that the centre of rotation, direction of rotation and angle are needed to identify and perform rotations.","Recognise and explain that after any combination of reflections, translations and rotations the image is congruent to the object."
,,,Understand that the image is mathematically similar to the object after enlargement. Use positive integer scale factors to perform and identify enlargements.,"Enlarge 2D shapes, from a centre of enlargement (outside or on the shape) with a positive integer scale factor. Identify an enlargement and scale factor.","Enlarge 2D shapes, from a centre of enlargement (outside, on or inside the shape) with a positive integer scale factor. Identify an enlargement, centre of enlargement and scale factor."
,,,,,Analyse and describe changes in perimeter and area of squares and rectangles when side lengths are enlarged by a positive integer scale factor.
,Statistics and Probability,Statistics,"Select and trial data collection and sampling methods to investigate predictions for a set of related statistical questions, considering what data to collect (categorical, discrete and continuous data).","Select, trial and justify data collection and sampling methods to investigate predictions for a set of related statistical questions, considering what data to collect (categorical, discrete and continuous data).","Select, trial and justify data collection and sampling methods to investigate predictions for a set of related statistical questions, considering what data to collect, and the appropriateness of each type (qualitative or quantitative; categorical, discrete or continuous)."
,,,Understand the effect of sample size on data collection and analysis.,Understand the advantages and disadvantages of different sampling methods.,"Explain potential issues and sources of bias with data collection and sampling methods, identifying further questions to ask."
,,,"Record, organise and represent categorical, discrete and continuous data. Choose and explain which representation to use in a given situation: 1) Venn and Carroll diagrams 2) tally charts, frequency tables and two-way tables 3) dual and compound bar charts 4) waffle diagrams and pie charts 5) frequency diagrams for continuous data 6) line graphs 7) scatter graphs 8) infographics.","Record, organise and represent categorical, discrete and continuous data. Choose and explain which representation to use in a given situation: 1) Venn and Carroll diagrams 2) tally charts, frequency tables and two-way tables 3) dual and compound bar charts 4) pie charts 5) frequency diagrams for continuous data 6) line graphs and time series graphs 7) scatter graphs 8) stem-and-leaf diagrams 9) infographics.","Record, organise and represent categorical, discrete and continuous data. Choose and explain which representation to use in a given situation: 1) Venn and Carroll diagrams 2) tally charts, frequency tables and two-way tables 3) dual and compound bar charts 4) pie charts 5) line graphs, time series graphs and frequency polygons 6) scatter graphs 7) stem-and-leaf and back-to-back stem-and-leaf diagrams 8) infographics."
,,,"Use knowledge of mode, median, mean and range to describe and summarise large data sets. Choose and explain which one is the most appropriate for the context.","Use knowledge of mode, median, mean and range to compare two distributions, considering the interrelationship between centrality and spread.","Use mode, median, mean and range to compare two distributions, including grouped data."
,,,"Interpret data, identifying patterns, within and between data sets, to answer statistical questions. Discuss conclusions, considering the sources of variation, including sampling, and check predictions.","Interpret data, identifying patterns, trends and relationships, within and between data sets, to answer statistical questions. Discuss conclusions, considering the sources of variation, including sampling, and check predictions.","Interpret data, identifying patterns, trends and relationships, within and between data sets, to answer statistical questions. Make informal inferences and generalisations, identifying wrong or misleading information."
,,Probability,"Use the language associated with probability and proportion to describe, compare, order and interpret the likelihood of outcomes.",Understand that complementary events are two events that have a total probability of 1.,Understand that the probability of multiple mutually exclusive events can be found by summation and all mutually exclusive events have a total probability of 1.
,,,"Understand and explain that probabilities range from 0 to 1 , and can be represented as proper fractions, decimals and percentages.","Understand that tables, diagrams and lists can be used to identify all mutually exclusive outcomes of combined events (independent events only).",Identify when successive and combined events are independent and when they are not.
,,,"Identify all the possible mutually exclusive outcomes of a single event, and recognise when they are equally likely to happen.",Understand how to find the theoretical probabilities of equally likely combined events.,Understand how to find the theoretical probabilities of combined events.
,,,Understand how to find the theoretical probabilities of equally likely outcomes.,"Design and conduct chance experiments or simulations, using small and large numbers of trials. Compare the experimental probabilities with theoretical outcomes.","Design and conduct chance experiments or simulations, using small and large numbers of trials. Calculate the expected frequency of occurrences and compare with observed outcomes."
,,,"Design and conduct chance experiments or simulations, using small and large numbers of trials. Analyse the frequency of outcomes to calculate experimental probabilities.",,
,,,,,
Science,Thinking and Working Scientifically,Models and representations,Describe the strengths and limitations of a model.,Describe what an analogy is and how it can be used as a model.,Understand that models and analogies reflect current scientific evidence and understanding and can change.
,,,Use symbols and formulae to represent scientific ideas.,Use an existing analogy for a purpose.,"Describe some important models, including analogies, and discuss their strengths and limitations."
,,,,Use symbols and formulae to represent scientific ideas.,Use symbols and formulae to represent scientific ideas.
,,Scientific enquiry: purpose and planning,Identify whether a given hypothesis is testable.,Identify whether a given hypothesis is testable.,Suggest a testable hypothesis based on scientific understanding.
,,,Describe how scientific hypotheses can be supported or contradicted by evidence from an enquiry.,Describe how scientific hypotheses can be supported or contradicted by evidence from an enquiry.,Describe examples where scientists' unexpected results from enquiries have led to improved scientific understanding.
,,,Make predictions of likely outcomes for a scientific enquiry based on scientific knowledge and understanding.,Make predictions of likely outcomes for a scientific enquiry based on scientific knowledge and understanding.,Make predictions of likely outcomes for a scientific enquiry based on scientific knowledge and understanding.
,,,"Plan a range of investigations of different types, while considering variables appropriately, and recognise that not all investigations can be fair tests.","Plan a range of investigations of different types, while considering variables appropriately, and recognise that not all investigations can be fair tests.",Plan a range of investigations of different types to obtain appropriate evidence when testing hypotheses.
,,,"Know the meaning of hazard symbols, and consider them when planning practical work.",Make risk assessments for practical work to identify and control risks.,Make risk assessments for practical work to identify and control risks.
,,Carrying out scientific enquiry,"Sort, group and classify phenomena, objects, materials and organisms through testing, observation, using secondary information, and making and using keys.","Sort, group and classify phenomena, objects, materials and organisms through testing, observation, using secondary information, and making and using keys.","Sort, group and classify phenomena, objects, materials and organisms through testing, observation, using secondary information, and making and using keys."
,,,Decide what equipment is required to carry out an investigation or experiment and use it appropriately.,Decide what equipment is required to carry out an investigation or experiment and use it appropriately.,Decide what equipment is required to carry out an investigation or experiment and use it appropriately.
,,,Evaluate whether measurements and observations have been repeated sufficiently to be reliable.,Evaluate whether measurements and observations have been repeated sufficiently to be reliable.,"Decide when to increase the range of observations and measurements, and increase the extent of repetition, to give sufficiently reliable data."
,,,"Take appropriately accurate and precise measurements, explaining why accuracy and precision are important.","Take appropriately accurate and precise measurements, explaining why accuracy and precision are important.","Take appropriately accurate and precise measurements, explaining why accuracy and precision are important."
,,,Carry out practical work safely.,"Carry out practical work safely, supported by risk assessments where appropriate.","Carry out practical work safely, supported by risk assessments where appropriate."
,,,Evaluate a range of secondary information sources for their relevance and know that some sources may be biased.,Evaluate a range of secondary information sources for their relevance and know that some sources may be biased.,Make an informed decision whether to use evidence from first-hand experience or secondary sources.
,,,Collect and record sufficient observations and/or measurements in an appropriate form.,Collect and record sufficient observations and/or measurements in an appropriate form.,"Collect, record and summarise sufficient observations and measurements, in an appropriate form."
,,"Scientific enquiry: analysis, evaluation and conclusions","Describe the accuracy of predictions, based on results, and suggest why they were or were not accurate.","Describe the accuracy of predictions, based on results, and suggest why they were or were not accurate.","Evaluate the strength of the evidence collected and how it supports, or refutes, the prediction."
,,,"Describe trends and patterns in results, including identifying any anomalous results.","Describe trends and patterns in results, including identifying any anomalous results.","Describe trends and patterns in results, identifying any anomalous results and suggesting why results are anomalous."
,,,Make conclusions by interpreting results and explain the limitations of the conclusions.,Make conclusions by interpreting results and explain the limitations of the conclusions.,"Make conclusions by interpreting results, explain the limitations of the conclusions and describe how the conclusions can be further investigated."
,,,"Evaluate experiments and investigations, and suggest improvements, explaining any proposed changes.","Evaluate experiments and investigations, and suggest improvements, explaining any proposed changes.","Evaluate experiments and investigations, including those by others, and suggest improvements, explaining any proposed changes."
,,,Present and interpret observations and measurements appropriately.,Present and interpret observations and measurements appropriately.,"Present and interpret results, and predict results between the data points collected."
,Biology,Structure and function,Understand that all organisms are made of cells and microorganisms are typically single celled.,"Identify ball-and-socket and hinge joints, and explain how antagonistic muscles move the bones at a hinge joint.","Describe the pathway of water and mineral salts from the roots to the leaves in flowering plants, including absorption in root hair cells, transport through xylem and transpiration from the surface of leaves."
,,,"Identify and describe the functions of cell structures (limited to cell membrane, cytoplasm, nucleus, cell wall, chloroplast, mitochondria and sap vacuole).","Describe the components of blood and their functions (limited to red blood cells transporting oxygen, white blood cells protecting against pathogens and plasma transporting blood cells, nutrients and carbon dioxide).","Describe the structure of the human excretory (renal) system and its function (limited to kidneys filtering blood to remove urea, which is excreted in urine)."
,,,"Explain how the structures of some specialised cells are related to their functions (including red blood cells, neurones, ciliated cells, root hair cells and palisade cells).",Describe how the structure of the human respiratory system is related to its function of gas exchange (in terms of lung structure and the action of the diaphragm and intercostal muscles) and understand the difference between breathing and respiration.,"Know that chromosomes contain genes, made of DNA, and that genes contribute to the determination of an organism's characteristics."
,,,Describe the similarities and differences between the structures of plant and animal cells.,Describe the diffusion of oxygen and carbon dioxide between blood and the air in the lungs.,
,,,"Understand that cells can be grouped together to form tissues, organs and organ systems.",,
,,Life processes,Describe the seven characteristics of living organisms.,"Identify the constituents of a balanced diet for humans as including protein, carbohydrates, fats and oils, water, minerals (limited to calcium and iron) and vitamins (limited to A, C and D), and describe the functions of these nutrients.",Describe the fusion of gametes to produce a fertilised egg with a new combination of DNA.
,,,Discuss reasons for classifying viruses as living or non-living.,"Understand that carbohydrates and fats can be used as a store of energy in animals, and animals consume food to obtain energy and nutrients.",Describe the inheritance of sex in humans in terms of XX and XY chromosomes.
,,,Describe a species as a group of organisms that can reproduce to produce fertile offspring.,"Discuss how human growth, development and health can be affected by lifestyle, including diet and smoking.",Describe variation within a species and relate this to genetic differences between individuals.
,,,Use and construct dichotomous keys to classify species and groups of related organisms.,"Know that aerobic respiration occurs in the mitochondria of plant and animal cells, and gives a controlled release of energy.",Describe the scientific theory of natural selection and how it relates to genetic changes over time.
,,,,Know and use the summary word equation for aerobic respiration (glucose + oxygen = â†’ carbon dioxide + water).,Know that plants require minerals to maintain healthy growth and life processes (limited to magnesium to make chlorophyll and nitrates to make protein).
,,,,,"Know that photosynthesis occurs in chloroplasts and is the process by which plants make carbohydrates, using the energy from light."
,,,,,"Know and use the summary word equation for photosynthesis (carbon dioxide + water = glucose + oxygen, in the presence of light and chlorophyll)."
,,,,,"Discuss how fetal development is affected by the health of the mother, including the effect of diet, smoking and drugs."
,,Ecosystems,Know and describe the ecological role some microorganisms have as decomposers.,"Identify different ecosystems on the Earth, recognising the variety of habitats that exist within an ecosystem.","Describe what could happen to the population of a species, including extinction, when there is an environmental change."
,,,Construct and interpret food chains and webs which include microorganisms as decomposers.,Describe the impact of the bioaccumulation of toxic substances on an ecosystem.,
,,,,Describe how a new and/or invasive species can affect other organisms and an ecosystem.,
,Chemistry,Materials and their structure,"Understand that all matter is made of atoms, with each different type of atom being a different element.",Describe the Rutherford model of the structure of an atom.,Understand that the structure of the Periodic Table is related to the atomic structure of the elements and the Periodic Table can be used to predict an element's structure and properties.
,,,Know that the Periodic Table presents the known elements in an order.,"Know that electrons have negative charge, protons have positive charge and neutrons have no charge.","Understand that a molecule is formed when two or more atoms join together chemically, through a covalent bond."
,,,Know metals and non-metals as the two main groupings of elements.,Know that the electrostatic attraction between positive and negative charge is what holds together individual atoms.,Describe a covalent bond as a bond made when a pair of electrons is shared by two atoms (limited to single bonds).
,,,"Describe the differences between elements, compounds and mixtures, including alloys as an example of a mixture.",Know that purity is a way to describe how much of a specific chemical is in a mixture.,Describe an ion as an atom which has gained at least one electron to be negatively charged or lost at least one electron to be positively charged.
,,,Describe a vacuum as a space devoid of matter.,,Describe an ionic bond as an attraction between a positively charged ion and a negatively charged ion.
,,,"Describe the three states of matter as solid, liquid and gas in terms of the arrangement, separation and motion of particles.",,
,,,"Use the particle model to represent elements, compounds and mixtures.",,
,,Properties of materials,Understand that all substances have chemical properties and physical properties.,Understand that the concentration of a solution relates to how many particles of the solute are present in a volume of the solvent.,"Understand that the groups within the Periodic Table have trends in physical and chemical properties, using group 1 as an example."
,,,Understand that the acidity or alkalinity of a substance is a chemical property and is measured by pH .,Describe how paper chromatography can be used to separate and identify substances in a sample.,Describe how the density of a substance relates to its mass in a defined volume.
,,,"Use indicators (including Universal Indicator and litmus) to distinguish between acidic, alkaline and neutral solutions.",,"Calculate and compare densities of solids, liquids and gases."
,,,"Use tests to identify hydrogen, carbon dioxide and oxygen gases.",,"Know that elements and compounds exist in structures (simple or giant), and this influences their physical properties."
,,,"Describe common differences between metals and non-metals, referring to their physical properties.",,
,,,Understand that alloys are mixtures that have different chemical and physical properties from the constituent substances.,,
,,,Use the particle model to explain the difference in hardness between pure metals and their alloys.,,
,,Changes to materials,"Identify whether a chemical reaction has taken place through observations of the loss of reactants and/or the formation of products which have different properties to the reactants (including evolving a gas, formation of a precipitate or change of colour).",Use word equations to describe reactions.,Use word equations and symbol equations to describe reactions (balancing symbol equations is not required).
,,,"Explain why a precipitate forms, in terms of a chemical reaction between soluble reactants forming at least one insoluble product.","Know that some processes and reactions are endothermic or exothermic, and this can be identified by temperature change.","Identify examples of displacement reactions and predict products (limited to reactions involving calcium, magnesium, zinc, iron, copper, gold and silver salts)."
,,,Use the particle model to describe chemical reactions.,"Describe the reactivity of metals (limited to sodium, potassium, calcium, magnesium, zinc, iron, copper, gold and silver) with oxygen, water and dilute acids.","Describe how to prepare some common salts by the reactions of metals with acids, and metal carbonates with acids, and purify them, using filtration, evaporation and crystallisation."
,,,Describe neutralisation reactions in terms of change of pH .,Know that reactions do not always lead to a single pure product and that sometimes a reaction will produce an impure mixture of products.,"Describe the effects of concentration, surface area and temperature on the rate of reaction, and explain them using the particle model."
,,,,Describe how the solubility of different salts varies with temperature.,Understand that in chemical reactions mass and energy are conserved.
,,,,Understand that some substances are generally unreactive and can be described as inert.,
,Physics,Forces and energy,Describe changes in energy that are a result of an event or process.,Calculate speed (speed = distance / time).,Use density to explain why objects float or sink in water.
,,,Know that energy tends to dissipate and in doing so it becomes less useful.,Interpret and draw simple distance / time graphs.,Describe the difference between heat and temperature.
,,,Describe gravity as a force of attraction between any two objects and describe how the size of the force is related to the masses of the objects.,Describe the effects of balanced and unbalanced forces on motion.,"Know that energy is conserved, meaning it cannot be created or destroyed."
,,,Understand that there is no air resistance to oppose movement in a vacuum.,Identify and calculate turning forces (moment = force x distance).,"Know that thermal energy will always transfer from hotter regions or objects to colder ones, and this is known as heat dissipation."
,,,,"Explain that pressure is caused by the action of a force, exerted by a substance, on an area (pressure =force/area).","Describe thermal transfer by the processes of conduction, convection and radiation."
,,,,Use particle theory to explain pressures in gases and liquids (qualitative only).,Explain cooling by evaporation.
,,,,Describe the diffusion of gases and liquids as the intermingling of substances by the movement of particles.,
,,Light and sound,Describe the vibration of particles in a sound wave and explain why sound does not travel in a vacuum.,Describe reflection at a plane surface and use the law of reflection.,"Draw and interpret waveforms, and recognise the link between loudness and amplitude, pitch and frequency."
,,,Explain echoes in terms of the reflection of sound waves.,Describe refraction of light at the boundary between air and glass or air and water in terms of change of speed.,Use waveforms to show how sound waves interact to reinforce or cancel each other.
,,,,"Know that white light is made of many colours and this can be shown through the dispersion of white light, using a prism.",
,,,,"Describe how colours of light can be added, subtracted, absorbed and reflected.",
,,Electricity and magnetism,Use a simple model to describe electricity as a flow of electrons around a circuit.,"Describe a magnetic field, and understand that it surrounds a magnet and exerts a force on other magnetic fields.",Describe how current divides in parallel circuits.
,,,Describe electrical conductors as substances that allow electron flow and electrical insulators as substances that inhibit electron flow.,Describe how to make an electromagnet and know that electromagnets have many applications.,"Know how to measure current and voltage in series and parallel circuits, and describe the effect of adding cells and lamps."
,,,Know how to measure the current in series circuits.,Investigate factors that change the strength of an electromagnet.,Calculate resistance (resistance = voltage / current) and describe how resistance affects current.
,,,Describe how adding components into a series circuit can affect the current (limited to addition of cells and lamps).,,"Use diagrams and conventional symbols to represent, make and compare circuits that include cells, switches, resistors (fixed and variable), ammeters, voltmeters, lamps and buzzers."
,,,"Use diagrams and conventional symbols to represent, make and compare circuits that include cells, switches, lamps, buzzers and ammeters.",,
,Earth and Space,Planet Earth,"Describe the model of plate tectonics, in which a solid outer layer (made up of the crust and uppermost mantle) moves because of flow lower in the mantle.",Know that the reason the Earth has a magnetic field is that the core acts as a magnet.,Explain the movement of tectonic plates in terms of convection currents.
,,,"Describe how earthquakes, volcanoes and fold mountains occur near the boundaries of tectonic plates.","Identify renewable resources (including wind, tidal and solar power, and bioplastics) and non-renewable resources (including fossil fuels), and describe how humans use them.","Explain why the jigsaw appearance of continental coasts, location of volcanoes and earthquakes, fossil record and alignment of magnetic materials in the Earth's crust are all evidence for tectonic plates."
,,,"Know that clean, dry air contains 78% nitrogen, 21% oxygen and small amounts of carbon dioxide and other gases, and this composition can change because of pollution and natural emissions.",,
,,Cycles on Earth,"Describe the water cycle (limited to evaporation, condensation, precipitation, water run-off, open water and groundwater).","Understand that there is evidence that the Earth's climate exists in a cycle between warm periods and ice ages, and the cycle takes place over long time periods.","Describe the carbon cycle (limited to photosynthesis, respiration, feeding, decomposition and combustion)."
